sailing_id,arrival_hhmm,arrival_minutes,departure_hhmm,departure_minutes,display_order,duration_min,from_port,is_active,operator,route,season,service_note,to_port,via_text,is_conditional_service,conditional_type,conditional_route
anei-kanko__2026-04-01_2026-05-10__ishigaki-port__iriomote-ohara-port__0700,07:45,465,07:00,420,27,45,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→西表大原,2026年4月1日〜5月10日ダイヤ,上原航路欠航時のみ運航,西表大原港,,yes,route_cancelled,anei-kanko__石垣→西表上原
anei-kanko__2026-04-01_2026-05-10__ishigaki-port__iriomote-ohara-port__0830,09:15,555,08:30,510,28,45,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→西表大原,2026年4月1日〜5月10日ダイヤ,上原航路欠航時に大原-上原方面の連絡送迎バスあり,西表大原港,,no,,
anei-kanko__2026-04-01_2026-05-10__ishigaki-port__iriomote-ohara-port__1300,13:45,825,13:00,780,29,45,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→西表大原,2026年4月1日〜5月10日ダイヤ,,西表大原港,,no,,
anei-kanko__2026-04-01_2026-05-10__ishigaki-port__iriomote-ohara-port__1600,16:45,1005,16:00,960,30,45,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→西表大原,2026年4月1日〜5月10日ダイヤ,上原航路欠航時に大原-上原方面の連絡送迎バスあり,西表大原港,,no,,
anei-kanko__2026-04-01_2026-05-10__ishigaki-port__iriomote-ohara-port__1630,17:15,1035,16:30,990,31,45,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→西表大原,2026年4月1日〜5月10日ダイヤ,上原航路欠航時のみ運航,西表大原港,,yes,route_cancelled,anei-kanko__石垣→西表上原
anei-kanko__2026-04-01_2026-05-10__ishigaki-port__hatoma-port__0830,09:50,590,08:30,510,32,80,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→鳩間,2026年4月1日〜5月10日ダイヤ,,鳩間港,上原経由,no,,
anei-kanko__2026-04-01_2026-05-10__ishigaki-port__hatoma-port__1630,17:50,1070,16:30,990,33,80,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→鳩間,2026年4月1日〜5月10日ダイヤ,,鳩間港,上原経由,no,,
anei-kanko__2026-04-01_2026-05-10__ishigaki-port__kuroshima-port__0800,08:30,510,08:00,480,34,30,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→黒島,2026年4月1日〜5月10日ダイヤ,,黒島港,,no,,
anei-kanko__2026-04-01_2026-05-10__ishigaki-port__kuroshima-port__1330,14:00,840,13:30,810,35,30,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→黒島,2026年4月1日〜5月10日ダイヤ,,黒島港,,no,,
anei-kanko__2026-04-01_2026-05-10__ishigaki-port__kuroshima-port__1600,16:30,990,16:00,960,36,30,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→黒島,2026年4月1日〜5月10日ダイヤ,,黒島港,,no,,
